12:24:04.931685, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 191, 
12:24:04.933748, IP, 192.168.0.102.50265, >, 162.159.137.234.443:, Flags, [P.],, seq, 2705553655:2705553741,, ack, 1627641940,, win, 509,, length, 86, 
12:24:04.936545, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 185, 
12:24:04.936546, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 325, 
12:24:04.956900, IP, 168.119.127.132.443, >, 192.168.0.102.55374:, Flags, [.],, ack, 2485475021,, win, 42,, length, 0, 
12:24:04.956901, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 200, 
12:24:04.956901, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 177, 
12:24:04.956901, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 328, 
12:24:04.962183, IP, 162.159.137.234.443, >, 192.168.0.102.50265:, Flags, [.],, ack, 86,, win, 68,, length, 0, 
12:24:04.970165, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 190, 
12:24:04.971565, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 218, 
12:24:04.976582, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 337, 
12:24:04.986115, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 195, 
12:24:04.995053, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 208, 
12:24:04.996515, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 341, 
12:24:05.012091, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 186, 
12:24:05.012488, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 197, 
12:24:05.016668, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 335, 
12:24:05.029459, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 207, 
12:24:05.033165, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 52, 
12:24:05.034504, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 198, 
12:24:05.036802, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 329, 
12:24:05.047145, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 203, 
12:24:05.055783, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 202, 
12:24:05.056725, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 334, 
12:24:05.068026, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 206, 
12:24:05.073350, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 217, 
12:24:05.077442, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 330, 
12:24:05.083526, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 28, 
12:24:05.095410, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 221, 
12:24:05.097032, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 330, 
12:24:05.097848, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 199, 
12:24:05.107400, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 197, 
12:24:05.118254, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 327, 
12:24:05.118257, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 223, 
12:24:05.130033, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 189, 
12:24:05.137041, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 326, 
12:24:05.139275, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 233, 
12:24:05.151063, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 190, 
12:24:05.156056, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 213, 
12:24:05.156724, IP, 192.168.0.102.55541, >, 192.168.1.101.7680:, Flags, [S],, seq, 1241804223,, win, 64240,, options, [mss, 1460,nop,wscale, 8,nop,nop,sackOK],, length, 0, 
12:24:05.156726, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 481, 
12:24:05.177094, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 303, 
12:24:05.177760, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 223, 
12:24:05.177763, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 188, 
12:24:05.186282, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 180, 
12:24:05.196957, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 319, 
12:24:05.199835, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 218, 
12:24:05.210249, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 187, 
12:24:05.217150, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 315, 
12:24:05.217153, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 213, 
12:24:05.227927, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 207, 
12:24:05.237025, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 317, 
12:24:05.240145, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 207, 
12:24:05.253702, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 191, 
12:24:05.256910, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 319, 
12:24:05.257484, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 211, 
12:24:05.266177, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 194, 
12:24:05.275146, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 213, 
12:24:05.276843, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 329, 
12:24:05.286666, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 52, 
12:24:05.292405, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 208, 
12:24:05.295039, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 179, 
12:24:05.296326, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 349, 
12:24:05.308584, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 172, 
12:24:05.313768, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 211, 
12:24:05.316978, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 356, 
12:24:05.329143, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 166, 
12:24:05.335731, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 215, 
12:24:05.336904, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 361, 
12:24:05.339044, IP, 192.168.0.102.53822, >, 64.233.165.188.5228:, Flags, [.],, seq, 3790052692:3790052693,, ack, 2542236642,, win, 510,, length, 1, 
12:24:05.350164, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.356890, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 203, 
12:24:05.356891, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 372, 
12:24:05.366396, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.371892, IP, 64.233.165.188.5228, >, 192.168.0.102.53822:, Flags, [.],, ack, 1,, win, 265,, options, [nop,nop,sack, 1, {0:1}],, length, 0, 
12:24:05.372883, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 211, 
12:24:05.377169, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 376, 
12:24:05.388879, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 43, 
12:24:05.396376, IP, 192.168.0.102.49260, >, 188.122.66.119.50001:, UDP,, length, 216, 
12:24:05.397228, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 377, 
