ip1_1;ip1_2;ip1_3;ip1_4;anomaly
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
192;168;0;102;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
31;13;84;8;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
192;168;0;102;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
192;168;0;102;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
188;122;64;140;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
192;168;0;102;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
192;168;0;1;1
188;122;64;140;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
192;168;0;1;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
188;122;64;140;1
