ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;anomaly
219;196;206;31;62999;192;168;0;102;80;20
219;196;206;31;43480;192;168;0;102;80;20
219;196;206;31;43226;192;168;0;102;80;20
219;196;206;31;63392;192;168;0;102;80;20
219;196;206;31;22628;192;168;0;102;80;20
219;196;206;31;55186;192;168;0;102;80;20
219;196;206;31;37310;192;168;0;102;80;20
219;196;206;31;7004;192;168;0;102;80;20
219;196;206;31;37288;192;168;0;102;80;20
219;196;206;31;64141;192;168;0;102;80;20
219;196;206;31;2470;192;168;0;102;80;20
219;196;206;31;25971;192;168;0;102;80;20
219;196;206;31;3937;192;168;0;102;80;20
219;196;206;31;52270;192;168;0;102;80;20
219;196;206;31;37402;192;168;0;102;80;20
219;196;206;31;59747;192;168;0;102;80;20
219;196;206;31;24658;192;168;0;102;80;20
219;196;206;31;8430;192;168;0;102;80;20
219;196;206;31;56494;192;168;0;102;80;20
219;196;206;31;61339;192;168;0;102;80;20
219;196;206;31;37641;192;168;0;102;80;20
219;196;206;31;61404;192;168;0;102;80;20
219;196;206;31;276;192;168;0;102;80;20
219;196;206;31;50434;192;168;0;102;80;20
219;196;206;31;13104;192;168;0;102;80;20
219;196;206;31;65170;192;168;0;102;80;20
219;196;206;31;28441;192;168;0;102;80;20
219;196;206;31;40560;192;168;0;102;80;20
219;196;206;31;58055;192;168;0;102;80;20
219;196;206;31;46239;192;168;0;102;80;20
219;196;206;31;51181;192;168;0;102;80;20
219;196;206;31;17787;192;168;0;102;80;20
219;196;206;31;30552;192;168;0;102;80;20
219;196;206;31;51109;192;168;0;102;80;20
219;196;206;31;37153;192;168;0;102;80;20
219;196;206;31;37835;192;168;0;102;80;20
219;196;206;31;4218;192;168;0;102;80;20
219;196;206;31;11406;192;168;0;102;80;20
219;196;206;31;38307;192;168;0;102;80;20
219;196;206;31;46696;192;168;0;102;80;20
219;196;206;31;52584;192;168;0;102;80;20
219;196;206;31;10544;192;168;0;102;80;20
219;196;206;31;39286;192;168;0;102;80;20
219;196;206;31;57821;192;168;0;102;80;20
219;196;206;31;28408;192;168;0;102;80;20
219;196;206;31;44490;192;168;0;102;80;20
219;196;206;31;11023;192;168;0;102;80;20
219;196;206;31;10595;192;168;0;102;80;20
219;196;206;31;17296;192;168;0;102;80;20
219;196;206;31;8159;192;168;0;102;80;20
162;159;136;234;443;192;168;0;102;53167;20
219;196;206;31;37652;192;168;0;102;80;20
219;196;206;31;55158;192;168;0;102;80;20
219;196;206;31;10458;192;168;0;102;80;20
219;196;206;31;45452;192;168;0;102;80;20
219;196;206;31;26287;192;168;0;102;80;20
219;196;206;31;58915;192;168;0;102;80;20
219;196;206;31;44472;192;168;0;102;80;20
219;196;206;31;57871;192;168;0;102;80;20
219;196;206;31;43966;192;168;0;102;80;20
219;196;206;31;58476;192;168;0;102;80;20
219;196;206;31;22627;192;168;0;102;80;20
219;196;206;31;22693;192;168;0;102;80;20
219;196;206;31;2848;192;168;0;102;80;20
219;196;206;31;40388;192;168;0;102;80;20
219;196;206;31;21505;192;168;0;102;80;20
219;196;206;31;39103;192;168;0;102;80;20
219;196;206;31;42449;192;168;0;102;80;20
219;196;206;31;35986;192;168;0;102;80;20
219;196;206;31;52328;192;168;0;102;80;20
219;196;206;31;8550;192;168;0;102;80;20
219;196;206;31;56790;192;168;0;102;80;20
219;196;206;31;58178;192;168;0;102;80;20
219;196;206;31;27171;192;168;0;102;80;20
219;196;206;31;48087;192;168;0;102;80;20
219;196;206;31;4085;192;168;0;102;80;20
192;168;0;102;60431;2;18;233;92;443;20
219;196;206;31;21317;192;168;0;102;80;20
