ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;anomaly
52;114;242;182;3478;192;168;0;102;50412;
52;113;37;37;3481;192;168;0;102;50595;
52;113;37;37;3479;192;168;0;102;50174;
192;168;0;102;55554;185;26;182;124;443;
185;26;182;124;443;192;168;0;102;55554;
185;26;182;124;443;192;168;0;102;55554;
52;113;37;37;3481;192;168;0;102;50595;
52;113;37;37;3479;192;168;0;102;50174;
188;122;64;29;50006;192;168;0;102;56823;
188;122;64;29;50006;192;168;0;102;56823;
192;168;0;102;55554;185;26;182;124;443;
192;168;0;102;50296;51;103;5;186;443;
