ip1_1;ip1_2;ip1_3;ip1_4
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
40;77;226;250
40;77;226;250
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
192;168;0;1
172;217;16;14
192;168;0;102
172;217;16;14
172;217;16;14
192;168;0;102
192;168;0;102
172;217;16;14
172;217;16;14
172;217;16;14
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
172;217;16;14
172;217;16;14
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
172;217;16;14
192;168;0;105
51;144;164;215
192;168;0;105
51;144;164;215
192;168;0;105
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
172;217;16;14
192;168;0;102
51;103;5;186
192;168;0;102
192;168;0;102
34;107;247;156
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
13;107;13;93
172;217;16;14
192;168;0;105
13;107;42;18
192;168;0;102
172;217;16;14
192;168;0;105
152;199;19;161
152;199;19;161
192;168;0;105
192;168;0;102
34;107;247;156
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;101
192;168;0;101
192;168;0;105
51;144;164;215
192;168;0;101
192;168;0;101
172;217;16;14
192;168;0;102
172;217;16;14
172;217;16;14
192;168;0;102
192;168;0;105
13;107;13;93
192;168;0;105
13;107;42;18
192;168;0;105
152;199;19;161
192;168;0;102
51;103;5;186
192;168;0;102
192;168;0;102
34;107;247;156
192;168;0;102
172;217;16;14
192;168;0;105
51;144;164;215
13;107;13;93
192;168;0;102
34;107;247;156
152;199;19;161
192;168;0;105
13;107;42;18
192;168;0;102
192;168;0;1
192;168;0;102
40;70;229;150
192;168;0;102
192;168;0;102
40;70;229;150
192;168;0;102
192;168;0;102
40;70;229;150
40;70;229;150
192;168;0;102
192;168;0;102
192;168;0;102
192;168;0;102
192;168;0;102
40;70;229;150
40;70;229;150
40;70;229;150
40;70;229;150
192;168;0;102
40;70;229;150
192;168;0;102
192;168;0;102
192;168;0;102
172;217;16;14
172;217;16;14
172;217;16;14
192;168;0;102
192;168;0;105
152;199;19;161
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;102
51;103;5;186
192;168;0;102
192;168;0;102
34;107;247;156
51;144;164;215
192;168;0;102
172;217;16;14
152;199;19;161
152;199;19;161
152;199;19;161
192;168;0;105
192;168;0;105
152;199;19;161
192;168;0;102
34;107;247;156
192;168;0;101
192;168;0;101
192;168;0;101
192;168;0;101
192;168;0;102
172;217;16;14
172;217;16;14
192;168;0;102
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;102
51;103;5;186
192;168;0;102
192;168;0;102
34;107;247;156
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;102
172;217;16;14
192;168;0;101
192;168;0;105
192;168;0;101
192;168;0;105
192;168;0;101
192;168;0;105
192;168;0;101
192;168;0;105
192;168;0;101
192;168;0;105
192;168;0;102
192;168;0;1
192;168;0;102
3;95;124;10
192;168;0;102
192;168;0;102
3;95;124;10
192;168;0;102
3;95;124;10
3;95;124;10
192;168;0;102
192;168;0;102
192;168;0;102
3;95;124;10
192;168;0;102
192;168;0;1
192;168;0;102
34;98;96;51
192;168;0;102
192;168;0;102
34;98;96;51
34;98;96;51
192;168;0;102
34;98;96;51
3;95;124;10
192;168;0;102
192;168;0;102
3;95;124;10
192;168;0;102
192;168;0;102
34;98;96;51
34;98;96;51
192;168;0;102
192;168;0;102
34;98;96;51
3;95;124;10
3;95;124;10
192;168;0;102
3;95;124;10
3;95;124;10
192;168;0;102
192;168;0;102
3;95;124;10
192;168;0;102
3;95;124;10
192;168;0;102
3;95;124;10
192;168;0;102
34;107;247;156
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;70;229;150
192;168;0;102
192;168;0;102
172;217;16;14
172;217;16;14
172;217;16;14
192;168;0;102
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;1
192;168;0;102
51;103;5;186
192;168;0;102
192;168;0;102
34;107;247;156
192;168;0;102
172;217;16;14
192;168;0;102
192;168;0;1
192;168;0;102
2;18;233;92
192;168;0;102
192;168;0;102
2;18;233;92
2;18;233;92
2;18;233;92
2;18;233;92
192;168;0;102
2;18;233;92
192;168;0;102
192;168;0;102
2;18;233;92
2;18;233;92
192;168;0;102
2;18;233;92
2;18;233;92
192;168;0;102
3;95;124;10
3;95;124;10
192;168;0;102
3;95;124;10
3;95;124;10
192;168;0;102
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;1
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;1
192;168;0;105
152;199;19;160
192;168;0;105
192;168;0;105
152;199;19;160
152;199;19;160
192;168;0;105
192;168;0;105
152;199;19;160
192;168;0;105
152;199;19;160
192;168;0;105
152;199;19;160
192;168;0;105
192;168;0;105
192;168;0;105
192;168;0;105
152;199;19;160
192;168;0;105
152;199;19;160
192;168;0;105
152;199;19;160
192;168;0;105
192;168;0;105
152;199;19;160
192;168;0;105
152;199;19;160
192;168;0;102
34;107;247;156
192;168;0;101
192;168;0;101
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;101
192;168;0;101
192;168;0;102
172;217;16;14
172;217;16;14
192;168;0;102
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
192;168;0;105
192;168;0;105
40;77;226;250
40;77;226;250
192;168;0;105
192;168;0;1
192;168;0;105
192;168;0;1
192;168;0;105
40;77;226;250
192;168;0;105
